time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T08:36:52Z,eth0,117049146,92600,76807104,42157,14204205,74511292,88418,3,58940,85620,30,0,25920,1369828
2025-12-30T08:36:53Z,eth0,117049866,92612,76822896,42165,14209439,74525399,88429,3,58952,85632,30,0,25920,1369828
2025-12-30T08:36:54Z,eth0,117050028,92615,76824794,42168,14214333,74539483,88435,3,58954,85634,30,0,25920,1369828
2025-12-30T08:36:56Z,eth0,117050148,92617,76826682,42170,14219281,74554768,88439,3,58956,85636,30,0,25920,1369828
2025-12-30T08:36:57Z,eth0,117050208,92618,76827610,42171,14224376,74569340,88441,3,58957,85637,30,0,25920,1369828
2025-12-30T08:36:58Z,eth0,117058658,92631,76833358,42185,14229194,74583907,88468,3,58968,85652,30,0,25920,1369828
2025-12-30T08:36:59Z,eth0,117058658,92631,76833358,42185,14234173,74598152,88468,3,58968,85652,30,0,25920,1369828
2025-12-30T08:37:00Z,eth0,117058700,92632,76833400,42186,14239147,74611812,88470,3,58968,85652,30,0,25920,1369828
2025-12-30T08:37:01Z,eth0,117058700,92632,76833400,42186,14244085,74625896,88470,3,58968,85652,30,0,25920,1369828
2025-12-30T08:37:02Z,eth0,117058818,92633,76833466,42187,14249236,74641581,88472,3,58969,85653,30,0,25920,1369828
2025-12-30T08:37:03Z,eth0,117058818,92633,76833466,42187,14254167,74656639,88472,3,58969,85653,30,0,25920,1369828
2025-12-30T08:37:04Z,eth0,117058818,92633,76833466,42187,14259344,74670786,88472,3,58969,85653,30,0,25920,1369828
2025-12-30T08:37:05Z,eth0,117058818,92633,76833466,42187,14264235,74684722,88472,3,58969,85653,30,0,25920,1369828
2025-12-30T08:37:06Z,eth0,117058860,92634,76833508,42188,14269401,74699689,88474,3,58969,85653,30,0,25920,1369828
2025-12-30T08:37:07Z,eth0,117059688,92640,76834318,42196,14274485,74715335,88490,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:08Z,eth0,117059688,92640,76834318,42196,14279719,74731428,88490,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:09Z,eth0,117059688,92640,76834318,42196,14284652,74745588,88490,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:10Z,eth0,117059730,92641,76834360,42197,14289702,74760272,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:11Z,eth0,117059730,92641,76834360,42197,14294385,74774877,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:12Z,eth0,117059730,92641,76834360,42197,14299380,74791186,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:13Z,eth0,117059730,92641,76834360,42197,14304082,74805604,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:14Z,eth0,117059730,92641,76834360,42197,14309127,74821210,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:16Z,eth0,117059730,92641,76834360,42197,14314083,74836208,88492,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:17Z,eth0,117059772,92642,76834402,42198,14319253,74849717,88494,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:18Z,eth0,117059772,92642,76834402,42198,14324198,74862477,88494,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:19Z,eth0,117059772,92642,76834402,42198,14329138,74875894,88494,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:20Z,eth0,117059772,92642,76834402,42198,14334189,74890079,88494,3,58974,85660,30,0,25920,1369828
2025-12-30T08:37:21Z,eth0,117059950,92644,76834522,42200,14339187,74905238,88498,3,58976,85662,30,0,25920,1369828
2025-12-30T08:37:22Z,eth0,117059950,92644,76834522,42200,14344161,74920518,88498,3,58976,85662,30,0,25920,1369828
2025-12-30T08:37:23Z,eth0,117059992,92645,76834564,42201,14349226,74935318,88500,3,58976,85662,30,0,25920,1369828
2025-12-30T08:37:24Z,eth0,117060110,92646,76834630,42202,14354264,74950631,88502,3,58977,85663,30,0,25920,1369828
