time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T09:56:50Z,eth0,1943913902,25145145,1662128035,23634885,55781435,154546892,9947211,98229,25077720,23584255,101305,999998,1669176,3115576
2025-12-30T09:56:54Z,eth0,1948354652,25212426,1666573208,23702165,55835776,154614906,9950519,99231,25144996,23651601,101305,999998,1669176,3115576
2025-12-30T09:56:58Z,eth0,1952732498,25278761,1670951054,23768500,55889065,154687123,9953629,100195,25211320,23718005,101305,999998,1669176,3115576
2025-12-30T09:57:02Z,eth0,1957094331,25344842,1675314065,23834583,55943252,154760332,9956562,101144,25277398,23784184,101305,999998,1669176,3115576
2025-12-30T09:57:06Z,eth0,1961442873,25410729,1679662607,23900470,55997139,154828966,9959895,102086,25343285,23850154,101305,999998,1669176,3115576
2025-12-30T09:57:11Z,eth0,1965800475,25476754,1684020209,23966495,56051062,154898884,9962960,103034,25409308,23916248,101305,999998,1669176,3115576
2025-12-30T09:57:15Z,eth0,1970184787,25543112,1688400636,24032853,56104942,154965633,9966023,103984,25475658,23982663,101305,999998,1669176,3115576
2025-12-30T09:57:19Z,eth0,1974664075,25610984,1692879924,24100725,56159207,155034411,9969104,104980,25543519,24050597,101305,999998,1669176,3115576
2025-12-30T09:57:23Z,eth0,1979135307,25678730,1697351040,24168470,56213470,155101160,9971987,105977,25611263,24118443,101305,999998,1669176,3115576
2025-12-30T09:57:27Z,eth0,1983524975,25745235,1701740577,24234974,56267932,155171830,9974584,106839,25677764,24185023,101305,999998,1669176,3115576
2025-12-30T09:57:31Z,eth0,1987894245,25811424,1706109593,24301161,56321816,155240898,9977693,107783,25743951,24251288,101305,999998,1669176,3115576
2025-12-30T09:57:35Z,eth0,1992243577,25877312,1710458670,24367047,56376667,155313580,9980585,108727,25809834,24317244,101305,999998,1669176,3115576
2025-12-30T09:57:39Z,eth0,1996607101,25943430,1714822194,24433165,56431475,155383926,9983790,109681,25875941,24383425,101305,999997,1669176,3115576
2025-12-30T09:57:44Z,eth0,2000957443,26009345,1719172536,24499080,56486225,155454692,9986573,110622,25941854,24449397,101305,999997,1669176,3115576
2025-12-30T09:57:48Z,eth0,2005385287,26076435,1723600380,24566170,56540531,155527170,9989721,111581,26008940,24516534,101305,999997,1669176,3115576
2025-12-30T09:57:52Z,eth0,2009853499,26144136,1728068598,24633871,56594491,155595606,9992750,112581,26076639,24584292,101305,999997,1669176,3115576
2025-12-30T09:57:56Z,eth0,2014292827,26211401,1732507564,24701130,56648261,155659416,9996009,113563,26143899,24651630,101305,999997,1669176,3115576
2025-12-30T09:58:00Z,eth0,2018669898,26277718,1736885880,24767449,56702548,155723050,9999099,114551,26210204,24718042,101305,999997,1669176,3115576
2025-12-30T09:58:04Z,eth0,2023031248,26343799,1741247178,24833530,56756096,155785584,10002047,115523,26276283,24784213,101305,999997,1669176,3115576
2025-12-30T09:58:08Z,eth0,2027379284,26409680,1745595156,24899410,56810418,155849494,10005457,116446,26342160,24850186,101305,999997,1669176,3115576
2025-12-30T09:58:12Z,eth0,2031734774,26475673,1749950646,24965403,56864868,155915835,10008523,117405,26408151,24916280,101305,999997,1669176,3115576
2025-12-30T09:58:16Z,eth0,2036112170,26541999,1754328042,25031729,56918725,155983493,10011598,118366,26474472,24982685,101305,999997,1669176,3115576
2025-12-30T09:58:20Z,eth0,2040590594,26609858,1758806472,25099588,56971580,156050254,10014574,119366,26542320,25050621,101305,999997,1669176,3115576
2025-12-30T09:58:24Z,eth0,2045062032,26677607,1763277858,25167337,57023892,156118540,10017564,120351,26610067,25118466,101305,999997,1669176,3115576
2025-12-30T09:58:28Z,eth0,2049451506,26744116,1767667332,25233846,57075803,156190323,10020394,121316,26676571,25185043,101305,999997,1669176,3115576
2025-12-30T09:58:32Z,eth0,2053820220,26810309,1772036046,25300039,57128366,156264793,10023522,122276,26742763,25251306,101305,999997,1669176,3115576
2025-12-30T09:58:37Z,eth0,2058169362,26876207,1776385194,25365937,57180702,156331094,10026345,123235,26808656,25317262,101305,999997,1669176,3115576
2025-12-30T09:58:41Z,eth0,2062531806,26942309,1780747638,25432039,57233157,156396604,10029362,124128,26874746,25383442,101305,999996,1669176,3115576
2025-12-30T09:58:45Z,eth0,2066882214,27008225,1785098046,25497955,57284997,156467236,10032301,125066,26940660,25449414,101305,999996,1669176,3115576
2025-12-30T09:58:49Z,eth0,2071309374,27075305,1789525206,25565035,57337103,156533013,10035504,126033,27007735,25516551,101305,999995,1669176,3115576
