time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T09:33:17Z,eth0,773149361,9118817,692148204,9124775,35455798,123794888,4182402,6872,9083852,9166412,2967,500000,835904,2241760
2025-12-30T09:33:20Z,eth0,775314551,9151624,694323260,9157579,35484241,123831648,4183926,6950,9116658,9199220,2967,500000,835904,2241760
2025-12-30T09:33:22Z,eth0,775818045,9159252,694987244,9167632,35512327,123865343,4184323,7022,9130822,9231882,2967,500000,835904,2241760
2025-12-30T09:33:25Z,eth0,777470667,9184295,696479816,9190250,35540652,123904989,4185381,7022,9149320,9231882,2967,500000,835904,2241760
2025-12-30T09:33:27Z,eth0,779633553,9217066,698642702,9223021,35568904,123946508,4186970,7113,9182091,9264654,2967,500000,835904,2241760
2025-12-30T09:33:30Z,eth0,779633889,9217074,698643038,9223029,35597089,123985202,4186979,7113,9182091,9264654,2967,500000,835904,2241760
2025-12-30T09:33:32Z,eth0,781783461,9249643,700792616,9255598,35624925,124025525,4188390,7184,9214659,9297222,2967,500000,835904,2241760
2025-12-30T09:33:35Z,eth0,783962625,9282661,702971780,9288616,35653171,124064469,4189962,7270,9247676,9330239,2967,500000,835904,2241760
2025-12-30T09:33:37Z,eth0,783962625,9282661,702971780,9288616,35681493,124103364,4189962,7270,9247676,9330239,2967,500000,835904,2241760
2025-12-30T09:33:40Z,eth0,786261678,9317489,705270830,9323446,35709713,124142914,4191546,7389,9282502,9365069,2967,500000,835904,2241760
2025-12-30T09:33:42Z,eth0,786261678,9317489,705270830,9323446,35738014,124180858,4191546,7389,9282502,9365069,2967,500000,835904,2241760
2025-12-30T09:33:45Z,eth0,788552118,9352193,707561270,9358150,35766125,124220298,4193007,7500,9317205,9399773,2967,500000,835904,2241760
2025-12-30T09:33:47Z,eth0,790725954,9385130,709735112,9391087,35793848,124259296,4194483,7597,9350142,9432710,2967,500000,835904,2241760
2025-12-30T09:33:50Z,eth0,790725996,9385131,709735154,9391088,35822282,124298707,4194485,7597,9350142,9432710,2967,500000,835904,2241760
2025-12-30T09:33:53Z,eth0,792886232,9417863,711895274,9423819,35851181,124340135,4195963,7676,9382869,9465436,2967,500000,835904,2241760
2025-12-30T09:33:55Z,eth0,795046322,9450592,714055364,9456548,35879512,124379804,4197510,7768,9415597,9498164,2967,500000,835904,2241760
2025-12-30T09:33:58Z,eth0,795047272,9450603,714057311,9456558,35907698,124419108,4197517,7768,9415600,9498166,2967,500000,835904,2241760
2025-12-30T09:34:00Z,eth0,797211154,9483392,716221193,9489347,35936192,124460071,4198999,7851,9448381,9530947,2967,500000,835904,2241760
2025-12-30T09:34:03Z,eth0,797211272,9483393,716221259,9489348,35964936,124493990,4199001,7851,9448382,9530948,2967,500000,835904,2241760
