time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T13:59:10Z,eth0,12731685915,97153998,64194076847,90267711,1923753845,551800072,57416295,414169,97021480,118955295,4597668,10,24384,1435688
2025-12-30T13:59:11Z,eth0,12731691937,97154013,64194081695,90267725,1923759345,551815843,57416324,414169,97021493,118955309,4597668,10,24384,1435688
2025-12-30T13:59:12Z,eth0,12731692597,97154023,64194082355,90267735,1923764147,551830802,57416335,414169,97021503,118955319,4597668,10,24384,1435688
2025-12-30T13:59:13Z,eth0,12731692639,97154024,64194082397,90267736,1923769078,551845780,57416337,414169,97021503,118955319,4597668,10,24384,1435688
2025-12-30T13:59:14Z,eth0,12734442836,97170982,64211326553,90284190,1923811014,551892696,57436845,414169,97038714,118977999,4597701,138,29184,1501868
2025-12-30T13:59:15Z,eth0,12740136184,97205473,64247336377,90319846,1923877475,551971482,57479735,414169,97073565,119026559,4597715,266,33984,1502124
2025-12-30T13:59:16Z,eth0,12748682702,97255998,64302740981,90371656,1923963472,552074783,57541251,414169,97124395,119098626,4597761,394,40320,1502956
2025-12-30T13:59:17Z,eth0,12759983490,97321035,64376730539,90438107,1924067157,552199875,57618862,414169,97189520,119193605,4597768,522,48960,1503020
2025-12-30T13:59:18Z,eth0,12773714718,97391407,64471724005,90505220,1924179548,552329217,57697704,414169,97259838,119304491,4597769,522,57792,1503148
2025-12-30T13:59:19Z,eth0,12790097802,97470770,64586967261,90577576,1924304608,552467912,57782319,414169,97338657,119433690,4597772,650,67392,1503468
2025-12-30T13:59:20Z,eth0,12809741521,97572501,64722608133,90677828,1924502377,552657882,57899311,414169,97440547,119592839,4597772,778,80448,1503628
2025-12-30T13:59:21Z,eth0,12832173573,97689204,64876990213,90793984,1924739863,552874934,58033632,414169,97557574,119774948,4597848,906,94848,1569616
2025-12-30T13:59:23Z,eth0,12857001305,97815608,65049263323,90918787,1924995027,553104453,58177305,414169,97684895,119976225,4597918,1034,110784,1569856
2025-12-30T13:59:24Z,eth0,12884660051,97955661,65241528049,91056352,1925268635,553350456,58332754,414169,97824438,120197337,4597965,1162,128064,1569984
2025-12-30T13:59:25Z,eth0,12915479591,98109979,65456946045,91208980,1925572854,553618875,58503913,414169,97978360,120444561,4597966,1162,147648,1570176
2025-12-30T13:59:26Z,eth0,12948656883,98272386,65690751257,91368154,1925895067,553897935,58682478,414169,98141528,120711669,4597993,1290,168960,1636044
2025-12-30T13:59:27Z,eth0,12984533768,98445095,65945636659,91535675,1926228185,554186358,58867717,414169,98314187,120995920,4598036,1418,191040,1636364
2025-12-30T13:59:28Z,eth0,13022954075,98627178,66219892497,91709688,1926580331,554485667,59060860,414169,98496168,121299940,4598038,1546,214272,1636492
2025-12-30T13:59:29Z,eth0,13064091084,98823495,66512852329,91898936,1926956903,554807648,59270419,414169,98692502,121625808,4598045,1674,239616,1703228
2025-12-30T13:59:30Z,eth0,13107898105,99031213,66825454487,92097317,1927349343,555140518,59488256,414169,98900354,121972030,4598076,1802,266496,1704252
2025-12-30T13:59:31Z,eth0,13154318917,99247219,67159125043,92303171,1927763196,555484624,59714159,414169,99116689,122338583,4598077,1802,293760,1705020
2025-12-30T13:59:32Z,eth0,13203298338,99471646,67513379117,92514468,1928177938,555832000,59941496,414169,99340994,122721921,4598094,1930,323904,1771968
2025-12-30T13:59:33Z,eth0,13254866331,99705800,67886978097,92732058,1928607072,556184997,60172321,414169,99575356,123126000,4598102,2058,354808,1774244
2025-12-30T13:59:34Z,eth0,13308642378,99947947,68278175023,92956873,1929039447,556544871,60408262,414169,99817293,123544334,4598113,2186,386296,1840360
2025-12-30T13:59:35Z,eth0,13365024820,100199086,68689599909,93186768,1929486897,556913679,60651182,414169,100068971,123983254,4598159,2314,419704,1841192
2025-12-30T13:59:36Z,eth0,13423876622,100458283,69120801811,93423697,1929935159,557287284,60897503,414169,100327977,124439002,4598168,2442,454072,1907436
2025-12-30T13:59:38Z,eth0,13485444370,100725085,69574699101,93664400,1930391863,557665590,61147038,414169,100594869,124915029,4598168,2442,489208,1908524
2025-12-30T13:59:39Z,eth0,13550277649,101006534,70051925071,93916931,1930862897,558056844,61404495,414169,100876309,125414555,4598212,2570,526320,1975204
2025-12-30T13:59:40Z,eth0,13616653293,101290043,70543462113,94170604,1931334730,558447940,61661477,414169,101159935,125926295,4598224,2698,564720,2041704
2025-12-30T13:59:41Z,eth0,13685862763,101585467,71055600109,94433130,1931825686,558849107,61925979,414169,101455985,126458955,4598270,2826,603504,2043368
2025-12-30T13:59:42Z,eth0,13757356850,101887140,71587227585,94700492,1932313420,559252803,62192978,414169,101757263,127006922,4598297,2954,644784,2110124
2025-12-30T13:59:43Z,eth0,13831178783,102196548,72136498595,94972109,1932814069,559661367,62462893,414169,102066545,127572011,4598324,3082,687216,2111596
2025-12-30T13:59:44Z,eth0,13908932981,102521559,72716751901,95258168,1933328263,560085845,62744318,414169,102391415,128166640,4598325,3082,730032,2178608
2025-12-30T13:59:45Z,eth0,13988349986,102851428,73309978061,95545626,1933844560,560508751,63025118,414169,102721274,128771632,4598352,3210,775272,2245536
2025-12-30T13:59:46Z,eth0,14071245153,103192116,73930972083,95838445,1934365737,560937988,63309417,414169,103061968,129401722,4598363,3338,820968,2246752
2025-12-30T13:59:47Z,eth0,14156294175,103538848,74570069389,96136320,1934890202,561372702,63598755,414169,103409263,130049043,4598374,3466,868776,2313828
2025-12-30T13:59:48Z,eth0,14244376648,103896088,75232952663,96441553,1935426768,561814985,63892546,414169,103767462,130719830,4598393,3594,916392,2381480
2025-12-30T13:59:49Z,eth0,14334046149,104258149,75908465157,96750902,1935967696,562258105,64186461,414169,104129021,131398114,4598425,3722,965928,2448812
2025-12-30T13:59:51Z,eth0,14426844838,104629622,76609513737,97065578,1936515721,562708010,64485167,414169,104500611,132100805,4598499,3850,1016616,2450028
2025-12-30T13:59:52Z,eth0,14521481516,105007432,77325454173,97386030,1937057900,563156634,64784041,414169,104878245,132815719,4598499,3850,1068264,2517680
2025-12-30T13:59:53Z,eth0,14620017434,105396982,78072719081,97711740,1937605868,563608447,65084376,414169,105268213,133558698,4598578,3978,1121448,2583796
2025-12-30T13:59:54Z,eth0,14718187982,105784905,78817400087,98035973,1938149269,564058928,65382914,414169,105655975,134297592,4598581,3979,1175152,2651228
2025-12-30T13:59:55Z,eth0,14818334261,106181741,79576220981,98368818,1938708480,564522034,65691776,414169,106052825,135052002,4598581,3980,1228528,2654364
2025-12-30T13:59:56Z,eth0,14916210105,106569114,80318320551,98692415,1939252072,564971994,65992868,414169,106441966,135792410,4598586,3981,1281520,2720672
2025-12-30T13:59:57Z,eth0,15015577406,106962737,81071420611,99022643,1939805299,565432141,66299648,414169,106833764,136537586,4598586,3982,1335280,2788580
2025-12-30T13:59:58Z,eth0,15114647820,107356676,81820901403,99352787,1940358156,565891884,66607401,414169,107228584,137285185,4598586,3983,1389424,2855208
2025-12-30T13:59:59Z,eth0,15214688975,107751714,82580298945,99685184,1940914574,566355049,66916843,414169,107622935,138038619,4598586,3983,1442608,2921836
