time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T11:08:19Z,eth0,3719577901,50343975,3214162155,47018527,144912285,216447382,14353071,378985,50213641,46628920,486032,100000,2095852,8466880
2025-12-30T11:08:20Z,eth0,3719578405,50343983,3214174235,47018577,144951908,216465131,14353126,378985,50213649,46628971,486032,100000,2095852,8466880
2025-12-30T11:08:22Z,eth0,3719578769,50343988,3214183189,47018629,144993718,216481786,14353180,378985,50213653,46629021,486033,100000,2093868,8465088
2025-12-30T11:08:23Z,eth0,3719578901,50343990,3214191501,47018679,145035537,216498590,14353227,378985,50213655,46629071,486033,100000,2089772,8460992
2025-12-30T11:08:24Z,eth0,3719579033,50343992,3214199665,47018731,145082817,216516330,14353273,378985,50213657,46629123,486033,100000,2089772,8460992
2025-12-30T11:08:26Z,eth0,3719579099,50343993,3214205681,47018767,145130166,216535615,14353304,378985,50213658,46629159,486033,100000,2089772,8460992
2025-12-30T11:08:27Z,eth0,3719579165,50343994,3214211779,47018804,145173577,216552949,14353339,378985,50213659,46629196,486033,100000,2089772,8461248
2025-12-30T11:08:28Z,eth0,3719579207,50343995,3214220059,47018858,145221241,216572395,14353391,378985,50213659,46629249,486033,100000,2087784,8461504
2025-12-30T11:08:30Z,eth0,3719579405,50343998,3214220725,47018859,145268353,216590497,14353394,378985,50213662,46629250,486033,100000,2087784,8461504
2025-12-30T11:08:31Z,eth0,3719579537,50344000,3214226729,47018893,145316065,216609281,14353428,378985,50213664,46629284,486033,100000,2087784,8461504
2025-12-30T11:08:32Z,eth0,3719579711,50344003,3214233181,47018931,145365362,216627285,14353468,378985,50213666,46629321,486033,100000,2087976,8461504
2025-12-30T11:08:34Z,eth0,3719580065,50344008,3214241139,47018976,145403820,216643625,14353514,378985,50213671,46629365,486034,100000,2088168,8461504
2025-12-30T11:08:35Z,eth0,3719580197,50344010,3214249287,47019030,145444031,216660842,14353567,378985,50213673,46629419,486034,100000,2088552,8469696
2025-12-30T11:08:37Z,eth0,3719580395,50344013,3214255631,47019070,145485094,216678102,14353606,378985,50213676,46629459,486034,100000,2088744,8469696
2025-12-30T11:08:38Z,eth0,3719580845,50344020,3214260993,47019105,145529498,216697120,14353643,378985,50213682,46629493,486034,100000,2090664,8469696
