time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T11:27:36Z,eth0,3890346803,52447195,3337654098,48749326,309024577,248616521,16494361,378985,52316686,48359501,486147,500000,8173556,14919560
2025-12-30T11:27:39Z,eth0,3890347619,52447208,3337676746,48749435,309175983,248680478,16494468,378985,52316698,48359609,486147,500000,8267060,15003528
2025-12-30T11:27:42Z,eth0,3890347973,52447213,3337686944,48749496,309372377,248748145,16494525,378985,52316702,48359669,486147,500000,8313332,15067016
2025-12-30T11:27:45Z,eth0,3890348543,52447222,3337708646,48749623,309611453,248819280,16494649,378985,52316710,48359795,486147,500000,8609204,15378312
2025-12-30T11:27:47Z,eth0,3890349075,52447230,3337726022,48749702,309808261,248888400,16494729,378985,52316718,48359875,486147,500000,8968628,15714184
2025-12-30T11:27:50Z,eth0,3890350845,52447250,3337745150,48749808,309993471,248955897,16494845,378985,52316736,48359979,486147,500000,9295880,16059788
2025-12-30T11:27:53Z,eth0,3890351241,52447256,3337762646,48749900,310160683,249021205,16494938,378985,52316742,48360071,486147,500000,9506212,16238472
2025-12-30T11:27:56Z,eth0,3890351613,52447262,3337782730,48750006,310313337,249084061,16495043,378985,52316747,48360176,486147,500000,9600484,16320392
2025-12-30T11:27:58Z,eth0,3890352051,52447269,3337792744,48750063,310482193,249149245,16495098,378985,52316753,48360232,486147,500000,9601444,16320392
2025-12-30T11:28:01Z,eth0,3890352327,52447273,3337814582,48750186,310634445,249213209,16495220,378985,52316757,48360354,486148,500000,9604516,16320392
2025-12-30T11:28:04Z,eth0,3890352751,52447279,3337834316,48750301,310784650,249276650,16495332,378985,52316762,48360468,486148,500000,9607588,16320392
2025-12-30T11:28:07Z,eth0,3890352883,52447281,3337851676,48750397,310944139,249341086,16495428,378985,52316764,48360564,486148,500000,9609124,16320392
2025-12-30T11:28:09Z,eth0,3890353255,52447287,3337869202,48750498,311099600,249406206,16495521,378985,52316769,48360664,486148,500000,9611044,16320392
2025-12-30T11:28:12Z,eth0,3890353387,52447289,3337877326,48750544,311251158,249469628,16495563,378985,52316771,48360710,486148,500000,9614116,16320392
2025-12-30T11:28:15Z,eth0,3890353693,52447294,3337896230,48750648,311427283,249538632,16495665,378985,52316775,48360813,486148,500000,9609008,16316296
2025-12-30T11:28:18Z,eth0,3890354141,52447300,3337918196,48750775,311846235,249617195,16495792,378985,52316781,48360940,486148,500000,9613032,16314768
2025-12-30T11:28:21Z,eth0,3890354525,52447306,3337939790,48750896,312445446,249705227,16495911,378985,52316786,48361059,486149,500000,9614340,16316296
2025-12-30T11:28:23Z,eth0,3890354949,52447312,3337955302,48750982,313049096,249794456,16496002,378985,52316791,48361144,486149,500000,9614592,16324488
2025-12-30T11:28:26Z,eth0,3890355141,52447315,3337973536,48751070,313259398,249863150,16496091,378985,52316794,48361232,486149,500000,9599792,16308104
2025-12-30T11:28:29Z,eth0,3890355447,52447320,3337983098,48751123,313420190,249927620,16496147,378985,52316798,48361284,486149,500000,9555516,16263048
2025-12-30T11:28:32Z,eth0,3890355847,52447326,3338001504,48751225,313667484,249996992,16496251,378985,52316804,48361385,486150,500000,9551388,16258952
2025-12-30T11:28:34Z,eth0,3890356153,52447331,3338021098,48751332,313998699,250071094,16496356,378985,52316808,48361491,486150,500000,9552340,16258952
2025-12-30T11:28:37Z,eth0,3890356351,52447334,3338039744,48751439,314395998,250147924,16496458,378985,52316811,48361598,486150,500000,9554592,16258952
2025-12-30T11:28:40Z,eth0,3890357143,52447346,3338056422,48751534,314906079,250230010,16496556,378985,52316822,48361691,486151,500000,9552088,16250760
2025-12-30T11:28:43Z,eth0,3890357473,52447351,3338066856,48751591,315180247,250305844,16496614,378985,52316827,48361748,486151,500000,9554776,16258952
2025-12-30T11:28:45Z,eth0,3890358109,52447361,3338086194,48751704,315443356,250378021,16496727,378985,52316836,48361860,486151,500000,9547436,16246664
2025-12-30T11:28:48Z,eth0,3890358481,52447367,3338108772,48751835,315616781,250442620,16496860,378985,52316841,48361990,486151,500000,9548524,16250760
