time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-30T14:36:20Z,eth0,38474316635,201031460,258219244994,178806250,2085229561,702646478,141044131,414169,200894541,314108909,4600453,10,510788,7019360
2025-12-30T14:36:21Z,eth0,38474316743,201031462,258219247134,178806262,2085232550,702659315,141044143,414169,200894542,314108920,4600453,10,512516,7019360
2025-12-30T14:36:22Z,eth0,38474317041,201031466,258219250426,178806265,2085235443,702672442,141044148,414169,200894546,314108924,4600453,10,512516,7019360
2025-12-30T14:36:23Z,eth0,38474317239,201031469,258219254682,178806285,2085238518,702686970,141044168,414169,200894549,314108944,4600453,10,512516,7019360
2025-12-30T14:36:24Z,eth0,38475079405,201036123,258223960490,178809963,2085276789,702710575,141050212,414169,200899376,314115131,4600453,138,519236,7051616
2025-12-30T14:36:25Z,eth0,38478732487,201057168,258247739516,178827146,2085464612,702769557,141079726,414169,200920559,314143719,4600455,204,530452,7072996
2025-12-30T14:36:26Z,eth0,38485775663,201094909,258295079802,178856943,2085744712,702857248,141129743,414169,200958120,314199928,4600458,266,539832,7083832
2025-12-30T14:36:27Z,eth0,38495426609,201145448,258360840992,178896100,2086085113,702966971,141195355,414169,201008740,314277335,4600512,394,551736,7085660
2025-12-30T14:36:28Z,eth0,38507724469,201208758,258445061964,178944682,2086434134,703096482,141275341,414169,201072706,314377290,4600522,522,573080,7115872
2025-12-30T14:36:29Z,eth0,38522848374,201285935,258549271520,179003478,2086780125,703244938,141368375,414169,201150224,314500544,4600536,650,593372,7140632
2025-12-30T14:36:30Z,eth0,38540790999,201377179,258673018812,179073380,2087162072,703413153,141477869,414169,201241684,314646297,4600550,778,613900,7163260
2025-12-30T14:36:31Z,eth0,38561520723,201480675,258816904092,179151434,2087563374,703595427,141599427,414169,201344565,314814322,4600562,881,634808,7193100
2025-12-30T14:36:32Z,eth0,38585597586,201600261,258984854130,179241009,2087965073,703796290,141737430,414169,201464777,315011624,4600577,906,655716,7205248
2025-12-30T14:36:34Z,eth0,38611245617,201713598,259115499064,179320854,2088391787,703979433,141856345,414169,201577249,315172605,4600586,1030,681152,7238920
2025-12-30T14:36:35Z,eth0,38638829448,201830733,259239749644,179401652,2088809548,704162400,141975502,414169,201694772,315332806,4600589,1158,700660,7251664
2025-12-30T14:36:36Z,eth0,38668975333,201958299,259376131576,179488530,2089239214,704359225,142104691,414169,201823004,315508205,4600589,1286,717472,7281624
2025-12-30T14:36:37Z,eth0,38701329357,202086408,259491896236,179572280,2089649828,704544475,142223947,414169,201950373,315664060,4600589,1408,732212,7293416
2025-12-30T14:36:38Z,eth0,38733048928,202181763,259495114368,179620934,2089978635,704654634,142283636,414169,202045842,315712196,4600589,1536,729136,7288108
2025-12-30T14:36:39Z,eth0,38767433382,202284716,259498497674,179672107,2090333816,704769709,142346908,414169,202149172,315764470,4600589,1536,725296,7283684
2025-12-30T14:36:40Z,eth0,38804507141,202396099,259502227286,179728593,2090710884,704889426,142413245,414169,202260284,315819790,4600589,1664,720712,7280208
2025-12-30T14:36:41Z,eth0,38843890878,202514403,259506158232,179788046,2091117468,705015265,142483582,414169,202378521,315879855,4600589,1792,718012,7274500
2025-12-30T14:36:42Z,eth0,38885790715,202640241,259510324084,179851062,2091523091,705143268,142556107,414169,202504591,315943347,4600589,1920,711412,7259228
2025-12-30T14:36:43Z,eth0,38930043804,202773119,259514742118,179917977,2091935038,705271548,142628891,414169,202637582,316009885,4600589,2048,707536,7256440
2025-12-30T14:36:44Z,eth0,38976756354,202913364,259519443820,179989110,2092359995,705408558,142708749,414169,202777934,316080599,4600589,2176,700656,7250992
2025-12-30T14:36:45Z,eth0,39026046968,203060947,259524368278,180063657,2092791926,705549238,142791761,414169,202925340,316154850,4600589,2176,691324,7239220
2025-12-30T14:36:46Z,eth0,39078140478,203217302,259529583962,180142575,2093236284,705697031,142879229,414169,203081890,316233912,4600589,2304,690224,7238928
2025-12-30T14:36:48Z,eth0,39132379165,203380077,259534993802,180224519,2093679951,705847191,142969353,414169,203244913,316316515,4600589,2432,692816,7242008
2025-12-30T14:36:49Z,eth0,39189283345,203550835,259540676740,180310510,2094110535,705998754,143060511,414169,203416036,316402755,4600589,2560,697808,7243032
2025-12-30T14:36:50Z,eth0,39248800289,203729419,259546636616,180400698,2094538320,706153442,143153949,414169,203594643,316492579,4600589,2688,703376,7248152
2025-12-30T14:36:51Z,eth0,39311038906,203916146,259552844462,180494733,2094967954,706316678,143253940,414169,203780975,316586217,4600589,2816,708760,7256600
2025-12-30T14:36:52Z,eth0,39375500068,204109529,259559256614,180591801,2095388520,706484401,143358386,414169,203974760,316683796,4600589,2944,718936,7266840
2025-12-30T14:36:53Z,eth0,39442504674,204310144,259565910392,180692544,2095806419,706655523,143465561,414169,204175741,316785143,4600589,2944,723736,7266584
2025-12-30T14:36:54Z,eth0,39512209912,204519231,259572864908,180797800,2096214724,706832627,143577086,414169,204384534,316890384,4600589,3072,731608,7273752
2025-12-30T14:36:55Z,eth0,39584906775,204737270,259580129216,180907842,2096624693,707016722,143694481,414169,204602991,317000210,4600589,3200,739096,7285272
2025-12-30T14:36:56Z,eth0,39660472497,204963901,259587639342,181021523,2097027343,707205457,143815889,414169,204829623,317114213,4600589,3328,744472,7291416
2025-12-30T14:36:57Z,eth0,39739055284,205199565,259595486980,181140328,2097421569,707398820,143940817,414169,205066463,317233307,4600589,3456,752152,7299864
2025-12-30T14:36:59Z,eth0,39820453515,205443656,259603592722,181263119,2097808496,707597181,144069522,414169,205309339,317355276,4600589,3584,754648,7303192
2025-12-30T14:37:00Z,eth0,39903800808,205693586,259611894284,181388794,2098177444,707797284,144200966,414169,205559801,317481386,4600589,3712,757720,7306264
2025-12-30T14:37:01Z,eth0,39989501666,205950177,259620388046,181517437,2098522909,707999639,144334857,414169,205816113,317610065,4600589,3712,765440,7312924
2025-12-30T14:37:02Z,eth0,40078836722,206218035,259629288074,181652203,2098852827,708209636,144473648,414169,206084258,317744842,4600589,3840,780760,7329308
2025-12-30T14:37:03Z,eth0,40170865623,206493955,259638438860,181790828,2099167134,708423350,144616104,414169,206360033,317883446,4600589,3968,791680,7337500
2025-12-30T14:37:04Z,eth0,40262623114,206768685,259647558212,181928936,2099474653,708635625,144757712,414169,206634906,318021504,4600589,3969,794788,7340572
2025-12-30T14:37:05Z,eth0,40354370083,207043382,259656657848,182066750,2099766367,708847923,144899617,414169,206909329,318159375,4600589,3970,795868,7343644
2025-12-30T14:37:06Z,eth0,40446316944,207318675,259665791646,182205079,2100069885,709058764,145040109,414169,207185079,318297748,4600589,3971,795424,7342364
2025-12-30T14:37:07Z,eth0,40537834216,207592685,259674859948,182342457,2100378346,709269924,145180690,414169,207459098,318435474,4600590,3972,795616,7342108
2025-12-30T14:37:09Z,eth0,40629774863,207867961,259683999330,182480872,2100679270,709481072,145321272,414169,207734043,318573397,4600590,3973,796000,7342108
2025-12-30T14:37:10Z,eth0,40721426999,208142371,259693102540,182618731,2100975019,709692383,145461953,414169,208008791,318711443,4600590,3973,795820,7341852
2025-12-30T14:37:11Z,eth0,40813491136,208418016,259702232770,182757068,2101268780,709903985,145603064,414169,208284208,318849825,4600590,3974,798892,7348364
2025-12-30T14:37:12Z,eth0,40905788227,208694360,259711396512,182895855,2101568849,710116533,145744384,414169,208560620,318988528,4600590,3975,799084,7348364
2025-12-30T14:37:13Z,eth0,40997614312,208969293,259720514450,183033952,2101875405,710328989,145886227,414169,208835140,319126523,4600590,3976,799276,7348364
2025-12-30T14:37:14Z,eth0,41088972331,209242823,259729583694,183171292,2102179367,710540102,146027261,414169,209109323,319263935,4600591,3977,799320,7349388
2025-12-30T14:37:15Z,eth0,41181468352,209519768,259738765848,183310415,2102477455,710752721,146168996,414169,209385950,319402972,4600591,3978,798312,7348364
2025-12-30T14:37:16Z,eth0,41273777292,209796149,259747924940,183449139,2102777306,710964532,146310549,414169,209661684,319541623,4600591,3979,797164,7346316
2025-12-30T14:37:17Z,eth0,41366127756,210072649,259757088358,183587922,2103074462,711177904,146452899,414169,209938629,319680664,4600591,3979,797164,7346316
2025-12-30T14:37:19Z,eth0,41458674481,210349738,259766276230,183727132,2103374736,711390756,146595136,414169,210216347,319820040,4600591,3980,797356,7347340
